Project Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Plan Name,Bedrooms,Bathrooms,Floors,Garages,Unit Size,Current List Price,Last Update Date,Plan Universal ID,Period,Period Price,Active Adult,ZIP Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAf3x000001WrRPCA0,Augusta Heights,Arbor Homes,Clayton Properties Group,Active,,,Juniper,3,2.50,2,2,1760,262995,5/14/2026,aAa3x000000Yi6kCAC,11/13/2024,246995.00,Non Active Adult,46268,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,M S D Pike Township,,,,,Pike High School,4,,39.89474,-86.21371
aAf2T000001URgMSAW,Lindley Run/SF,Olthof Homes,,Active,,,Sedona,4,1.50,2,2,2444,502833,5/23/2026,aAa3x000000guLRCAY,10/27/2025,494652.00,Non Active Adult,46074,Westfield,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Westfield-Washington Schools,Westfield Intermediate School; Washington Woods Elementary School,9; 7,Westfield Middle School,9,Westfield High School,10,,40.06833,-86.10631
aAfPc0000021mxVKAQ,Marilyn Woods/Signature Collection,David Weekley Homes,,Active,,,The Crestline,3,2.50,2,3,2565,531990,5/29/2026,aAaPc000001LHWjKAO,5/29/2026,531990.00,Non Active Adult,46060,Noblesville,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Hamilton Southeastern Schools,Harrison Parkway Elementary School; Sand Creek Intermediate School,8; 7,Fishers Junior High School,7,Fishers High School,10,,39.99443,-85.95267
aAfPc000000eJU1KAM,Timbers Architectural SL,Lennar,,Active,,,3400,5,3.50,2,3,3564,680995,5/6/2026,aAaPc000000CbQnKAK,8/31/2024,656995.00,Non Active Adult,46062,Noblesville,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Noblesville Schools,Hinkle Creek Elementary School,8,Noblesville West Middle School,9,Noblesville High School,10,,40.06832,-86.06257
aAf2T000001UM5RSAW,Bluffs at Youngs Creek,Arbor Homes,Clayton Properties Group,Active,,,Norway,5,2.50,2,2,2961,337995,3/31/2026,aAa2T000000c7mdSAA,1/23/2023,326995.00,Non Active Adult,46131,Franklin,Johnson,18081,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Franklin Community School Corp,Custer Baker Intermediate School; Creekside Elementary School,7; 6,Franklin Community Middle School,7,Franklin Community High School,6,,39.46475,-86.06519
aAf3x000001QKUpCAO,Vintners Park Estates,Drees Homes,,Active,,,ASH LAWN,4,2.50,2,3,3085,675900,5/19/2026,aAa3x000000YeIICA0,4/8/2026,675900.00,Non Active Adult,46055,McCordsville,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,McCordsville Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.91338,-85.92927
aAf3x000001WoRWCA0,Hickory Run,M/I Homes,,Active,,,Kensington,4,2.50,2,3,3382,432990,5/18/2026,aAaPc0000018rMvKAI,3/6/2023,432990.00,Non Active Adult,46239,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Franklin Township Com Sch Corp,,,,,Franklin Central High School,9,,39.68048,-85.99215
aAf3x000001QeudCAC,Miles Farm/Tradition,D.R. Horton,"D.R. Horton, Inc.",Active,,,Bellamy,4,2.50,2,2,2053,338900,5/19/2026,aAaPc000000MkqbKAC,5/7/2025,338900.00,Non Active Adult,46122,Danville,Hendricks,18063,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Danville Community School Corp,Danville Middle School; South Elementary School,8; 7,Danville Middle School,8,Danville Community High School,8,,39.76422,-86.53935
aAf3x000001Qh4yCAC,Scottsdale Estates,Arbor Homes,Clayton Properties Group,Active,,,Norway,5,2.50,2,2,2961,368995,5/21/2026,aAaPc00000087XWKAY,10/25/2024,366995.00,Non Active Adult,46143,Greenwood,Johnson,18081,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Clark-Pleasant Com School Corp,Pleasant Crossing Elementary,7,Clark Pleasant Middle School,7,Whiteland Community High School,5,,39.55660,-86.14305
aAf3x000001QVVICA4,Carramore,Drees Homes,,Active,,,MAJESTIC,5,3.00,2,3,3039,567900,5/13/2026,aAaPc000000it1oKAA,7/1/2025,532900.00,Non Active Adult,46069,Sheridan,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Westfield-Washington Schools,Westfield Intermediate School; Monon Trail Elementary School,9; 6,Westfield Middle School,9,Westfield High School,10,,40.07796,-86.16111
aAf3x000001WjZmCAK,Monon Corner/Arbor,Arbor Homes,Clayton Properties Group,Active,,,The Norway,5,2.50,2,2,2961,418995,5/10/2026,aAa3x000000UWSVCA4,10/13/2025,415995.00,Non Active Adult,46074,Westfield,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Westfield-Washington Schools,Westfield Intermediate School; Monon Trail Elementary School,9; 6,Westfield Middle School,9,Westfield High School,10,,40.08126,-86.16478
aAfPc000000PEhJKAW,Fox Creek/Tradition,D.R. Horton,"D.R. Horton, Inc.",Active,,,Stamford,4,2.50,2,2,2346,392900,5/8/2026,aAaPc000000XFY9KAO,9/29/2025,422000.00,Non Active Adult,46118,Clayton,Hendricks,18063,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mill Creek Community Sch Corp,,,,,Cascade Senior High School,10,,39.67777,-86.45757
aAfPc000001EjxZKAS,White Oak Estates,Drees Homes,,Active,,,PARKETTE,3,3.00,1,3,2284,621900,5/20/2026,aAaPc000000WfcjKAC,2/10/2025,621900.00,Non Active Adult,46123,Avon,Hendricks,18063,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Avon Community School Corp,Sycamore Elementary School; Avon Intermediate School East,8; 6,Avon Middle School North,10,Avon High School,10,,39.79188,-86.39403
aAf3x000001QKUpCAO,Vintners Park Estates,Drees Homes,,Active,,,ALDEN,4,2.50,2,3,3055,644900,5/19/2026,aAa3x000000YeIDCA0,2/13/2024,628000.00,Non Active Adult,46055,McCordsville,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,McCordsville Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.91338,-85.92927
aAf3x000001QNemCAG,The Cove,Fischer Homes,,Active,,,Everett,2,2.00,1,2,2212,661990,4/30/2026,aAa3x000000ZiViCAK,11/13/2024,630990.00,Non Active Adult,46040,Fishers,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Hamilton Southeastern Schools,Hamilton Southeastern Jr High School; Southeastern Elementary School,9; 7,Hamilton Southeastern Jr High School,9,Hamilton Southeastern High School,10,,39.96309,-85.89215
aAf3x000001QR5BCAW,Colonnade Signature,Beazer Homes,,Active,,,Charleston,2,2.00,1,3,2214,459990,4/23/2026,aAaPc00000123QFKAY,4/23/2026,459990.00,Non Active Adult,46055,McCordsville,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,McCordsville Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.89064,-85.91169
aAf3x000001YgzhCAC,Sunrise Lake,Bridgenorth Homes,,Active,,,Oxford,3,2.00,1,3,1863,329490,4/29/2026,aAa3x000000grrICAQ,4/8/2022,322990.00,Non Active Adult,46163,New Palestine,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,New Palestine Community Schools,New Palestine Elementary School,8,New Palestine Jr High School,8,New Palestine High School,10,,39.73229,-85.88604
